ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:12448:1921		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:12219:1922		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:23465:1922		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:9941:1924		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:14697:1923		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:7969:1922		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:17118:1924		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:14736:1925		IGH.forP1_08N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:8605:1923		IGH.forP6_12N	0.4444444444444444
M05295:78:000000000-BJNBT:1:1102:19414:1923		IGH.forP4.2_12N	0.5555555555555556
M05295:78:000000000-BJNBT:1:1102:14068:1921		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:21681:1922		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:16541:1924		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:17969:1924		IGH.forP4.1_12N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:17276:1923		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:22151:1924		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:19089:1920		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:8084:1922		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:13618:1924		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:12869:1925		IGH.forP1_08N	0.6470588235294117
M05295:78:000000000-BJNBT:1:1102:21653:1926		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:9760:1925		IGH.forP4.1_12N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:18268:1925		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:11321:1927		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:13931:1923		IGH.forP135_08N	0.052631578947368474
M05295:78:000000000-BJNBT:1:1102:10621:1924		IGH.forP4.1_12N	0.4117647058823529
M05295:78:000000000-BJNBT:1:1102:9109:1925		IGH.forP6_12N	0.4444444444444444
